Shopping Mall Name,Location,Address,Latitude,Longitude,Opening Date,Developer,Management,Owner,Number of Stores,Number of Floors,Floor Area,Transit Access,Website,Wesbite,SearchVal,Postal
The Clementi Mall,"3155 Commonwealth Avenue West, Singapore 129588",3155 COMMONWEALTH AVENUE WEST THE CLEMENTI MALL SINGAPORE 129588,1.315496754,103.76457020000001,"14 January 2011; 9 years ago (operational)
21 May 2011; 9 years ago (official)[1]",,,"CM Domain Pte Ltd, Singapore Press Holdings, NTUC",135,6,," EW23  Clementi
Clementi",,theclementimall.com,THE CLEMENTI MALL,129588
IMM, Singapore,2 JURONG EAST STREET 21 IMM BUILDING SINGAPORE 609601,1.33489844,103.7467345,29 June 1991; 29 years ago,,,CapitaLand Mall Trust,"248 retail, 388 non-retail",,,Free Shuttle Bus Service at International Business Park,,imm.sg/en,IMM BUILDING,609601
JCube,"Jurong East, Singapore",2 JURONG EAST CENTRAL 1 JCUBE SINGAPORE 609731,1.333237851,103.74019129999999,2 April 2012; 8 years ago,,CapitaMalls Asia,CapitaMall Trust,154,6,, EW24  NS1  JE5  Jurong East,,JCube,JCUBE,609731
Jem,"Jurong East, Singapore",52 JURONG GATEWAY ROAD JEM SINGAPORE 608550,1.333054519,103.74343370000001,15 June 2013; 7 years ago,,Lendlease,Lendlease,241,9,, EW24  JE5  NS1  Jurong East,,www.jem.sg,JEM,608550
Westgate,"Jurong East, Singapore",3 GATEWAY DRIVE WESTGATE SINGAPORE 608532,1.33428313,103.74287009999999,2 December 2013; 6 years ago[1],,CapitaMalls Asia,CapitaMalls Asia,196[2],7,, EW24  NS1  JE5  Jurong East,,westgate.com.sg/en,WESTGATE,608532
Jurong Point,"Jurong West Central, Jurong West, Singapore",1 JURONG WEST CENTRAL 2 JURONG POINT SINGAPORE 648886,1.339452004,103.706685,Dec-95,Prime Point Realty Development Private Limited,,Mercatus Co-operative Limited,450,9,, EW27  JS8  Boon Lay,,jurongpoint.com.sg,JURONG POINT,648886
Pioneer Mall,,638 JURONG WEST STREET 61 PIONEER MALL SINGAPORE 640638,1.341591087,103.69702009999999,,,,,,,,,,,PIONEER MALL,640638
The Star Vista,,1 VISTA EXCHANGE GREEN THE STAR VISTA SINGAPORE 138617,1.30697044,103.7884203,,,,,,,,,,,THE STAR VISTA,138617
Anchorpoint,,368 ALEXANDRA ROAD ANCHORPOINT SHOPPING CENTRE SINGAPORE 159952,1.28893478,103.8056078,,,,,,,,,,,ANCHORPOINT SHOPPING CENTRE,159952
Gek Poh Shopping Centre,,763 JURONG WEST STREET 75 GEK POH SHOPPING CENTRE SINGAPORE 640763,1.3487440030000002,103.6982988,,,,,,,,,,,GEK POH SHOPPING CENTRE,640763
Taman Jurong Shopping Centre,,399 YUNG SHENG ROAD TAMAN JURONG SHOPPING CENTRE SINGAPORE 610399,1.334844875,103.720462,,,,,,,,,,,TAMAN JURONG SHOPPING CENTRE,610399
West Coast Plaza,Singapore,154 WEST COAST ROAD WEST COAST PLAZA SINGAPORE 127371,1.303742583,103.7660929,"1992 (Ginza Plaza)
2008 (West Coast Plaza)",,,Far East Organization,68,3 (including a ground floor),,,,www.westcoastplaza.com.sg,WEST COAST PLAZA,127371
Queensway Shopping Centre,"Queenstown, Singapore",1 QUEENSWAY QUEENSWAY SHOPPING CENTRE SINGAPORE 149053,1.287617926,103.8033911,1976,City Developments Limited,,,150,5 (1 basement level),,,,queenswayshoppingcentre.com,QUEENSWAY SHOPPING CENTRE,149053
