Shopping Mall Name,Location,Address,Latitude,Longitude,Opening Date,Developer,Management,Owner,Number of Stores,Number of Floors,Floor Area,Transit Access,Website,Wesbite,SearchVal,Postal
The Shoppes at Marina Bay Sands,,2A BAYFRONT AVENUE THE SHOPPES AT MARINA BAY SANDS SINGAPORE 018958,1.284234913,103.8589822,,,,,,,,,,,THE SHOPPES AT MARINA BAY SANDS,018958
Marina Bay Financial Centre Tower 3,,12 MARINA BOULEVARD MARINA BAY FINANCIAL CENTRE (TOWER 3) SINGAPORE 018982,1.279124938,103.85445759999999,,,,,,,,,,,MARINA BAY FINANCIAL CENTRE (TOWER 3),018982
Marina Bay Link Mall,"Marina Boulevard, Downtown Core, Singapore",8A MARINA BOULEVARD MARINA BAY LINK MALL SINGAPORE 018984,1.2804679429999999,103.85347009999998,,"HKL
Cheung Kong Limited/Hutchison Whampoa
Keppel Land",Raffles Quay Asset Management,,,,,,,,MARINA BAY LINK MALL,018984
Marina One,,MARINA ONE RESIDENCES,1.27704169,103.85340190000001,,"M+S
UEM Sunrise (Project manager)
Mapletree Investments (Project manager)",,,,,,,,,MARINA ONE RESIDENCES,NIL
Marina Square,"Marina Centre, Singapore",7 RAFFLES BOULEVARD MARINA SQUARE SINGAPORE 039595,1.291117292,103.8577583,1985,Singapore Land,Singapore Land,Singapore Land,,5,,,,www.marinasquare.com.sg,MARINA SQUARE,039595
Millenia Walk,,9 RAFFLES BOULEVARD MILLENIA WALK SINGAPORE 039596,1.292046053,103.8599002,,,,,,,,,,,MILLENIA WALK,039596
Mustafa Shopping Centre,"Syed Alwi Road, Little India, Singapore","145 Syed Alwi Road, Singapore 207704",1.309722222,103.8558333,April 1995; 25 years ago,,,Mr. Mustaq Ahmad,1 main store and 3 wings,8,, NE8  Farrer Park,,www.mustafa.com.sg,-1,
Ngee Ann City,Singapore,391B ORCHARD ROAD NGEE ANN CITY SINGAPORE 238874,1.302424172,103.8346761,21 September 1993; 27 years ago,"Ngee Ann Development
Orchard Square Development",Ngee Ann Property Management,Tower B - YTL Starhill Global Property Management,130,"29 (7 retail floors (B2 to L5), 3 parking floors (B3, L6 and L7), 19 office floors (L8 to L26))",," NS23  Somerset
 NS22  TE14  Orchard",,ngeeanncity.com.sg,NGEE ANN CITY,238874
Orchard Central,Singapore,181 ORCHARD ROAD ORCHARD CENTRAL SINGAPORE 238896,1.300723504,103.83969240000002,2 July 2009; 11 years ago,"Far East Organization
OCBC Bank",Orchard Central Private Limited,Far East Organization,~400,14,," NS23  Somerset
 NS24  NE6  CC1  Dhoby Ghaut",,orchardcentral.com.sg,ORCHARD CENTRAL,238896
Orchard Gateway,"Orchard, Singapore",277 ORCHARD ROAD ORCHARD GATEWAY SINGAPORE 238858,1.300443253,103.8394428,26 April 2014; 6 years ago,"Oversea-Chinese Banking Corporation
United Engineers Limited",,,,6 (including 2 basement levels),, NS23  Somerset,,www.orchardgateway.sg,ORCHARD GATEWAY,238858
